scenario,method,rho,sigma_2,rep,euclidean_dist,max_abs_coef_diff,cosine_similarity,prediction_mse,prediction_mae,prediction_corr
cart_N1000_p10_rho0.0_sigma1.5_rep88,cart,0.0,1.5,88,1.5242494496278645,0.611196702844421,0.9448649934869952,2.258121134283468,1.1983068483426176,0.984510902384253
cart_N1000_p10_rho0.0_sigma1.5_rep89,cart,0.0,1.5,89,1.4231301910003027,0.7368859226677534,0.9455332472222738,1.9724943475030552,1.118214032935163,0.9602794581115638
cart_N1000_p10_rho0.0_sigma1.5_rep9,cart,0.0,1.5,9,1.5500998668422468,0.8908229021143416,0.9243788208456695,2.375459450657534,1.2243627469107852,0.919194149341671
cart_N1000_p10_rho0.0_sigma1.5_rep90,cart,0.0,1.5,90,1.445374800281468,0.6927511643098355,0.9448931451633552,2.0544163685677135,1.1412120565891184,0.9563433480479311
cart_N1000_p10_rho0.0_sigma1.5_rep91,cart,0.0,1.5,91,1.6271130819164523,0.831434850718307,0.9168366608554668,2.5659331659351077,1.2733412618722493,0.923782987049298
cart_N1000_p10_rho0.0_sigma1.5_rep92,cart,0.0,1.5,92,1.5399407434361414,0.7985566541884885,0.9339227564411423,2.3214567188654063,1.2171128113008345,0.9353205945917573
cart_N1000_p10_rho0.0_sigma1.5_rep93,cart,0.0,1.5,93,1.4406026415989077,0.6107099612051285,0.9494326064112838,2.0306934772423193,1.134907669995954,0.9642684025474236
cart_N1000_p10_rho0.0_sigma1.5_rep94,cart,0.0,1.5,94,1.4986023905046455,0.6945655511171945,0.9188755292070951,2.1979126677366874,1.182489254625448,0.9139214758241383
cart_N1000_p10_rho0.0_sigma1.5_rep95,cart,0.0,1.5,95,1.4671556841059934,0.7127809035024859,0.9583457370171193,2.1053967409290917,1.1561607807543257,0.9666867534098955
cart_N1000_p10_rho0.0_sigma1.5_rep96,cart,0.0,1.5,96,1.5168202434309854,0.7747279705016032,0.9212617002775159,2.2845721010058893,1.201845488453937,0.9252330700625263
cart_N1000_p10_rho0.0_sigma1.5_rep97,cart,0.0,1.5,97,1.3832290517348471,0.7360280696699184,0.9604135121341449,1.8641230414993202,1.0878567610599832,0.9646038046938991
cart_N1000_p10_rho0.0_sigma1.5_rep98,cart,0.0,1.5,98,1.412981481289628,0.7760154174865836,0.9545105706168131,1.9564534170789545,1.1150205020127508,0.9560945547802421
cart_N1000_p10_rho0.0_sigma1.5_rep99,cart,0.0,1.5,99,1.5045386187585188,0.6201767694949603,0.9331707204087415,2.2040490772787824,1.1829338015305992,0.9431892506977652
cart_N1000_p10_rho0.0_sigma2.0_rep1,cart,0.0,2.0,1,1.6403283620647546,0.8832572967669394,0.8921433494886155,2.627130752552242,1.2931106499366252,0.900350262822221
cart_N1000_p10_rho0.0_sigma2.0_rep10,cart,0.0,2.0,10,1.499656025623539,0.8087356340555254,0.9293395719418852,2.2163076074943726,1.1855804990538712,0.9359763892773085
cart_N1000_p10_rho0.0_sigma2.0_rep100,cart,0.0,2.0,100,1.469098098387498,0.6852795685381327,0.9266153195666932,2.11977181037366,1.1594267279597568,0.9324736084233999
cart_N1000_p10_rho0.0_sigma2.0_rep11,cart,0.0,2.0,11,1.657930893374851,0.7239403184027484,0.9167667441592345,2.685082353939095,1.308166395038766,0.9487903566376257
cart_N1000_p10_rho0.0_sigma2.0_rep12,cart,0.0,2.0,12,1.5954888986157523,0.7284214158150641,0.9289093115153533,2.501270876984853,1.2584888221051902,0.9270064576872763
cart_N1000_p10_rho0.0_sigma2.0_rep13,cart,0.0,2.0,13,1.5633926760380652,0.6617002157190573,0.947020308896551,2.405813327164014,1.2372167545117556,0.9411821626061192
cart_N1000_p10_rho0.0_sigma2.0_rep14,cart,0.0,2.0,14,1.2510866570201689,0.7655530541026926,0.9588089327688284,1.5556675874713317,0.9924450287580312,0.9559014379607375
cart_N1000_p10_rho0.0_sigma2.0_rep15,cart,0.0,2.0,15,1.2846925833775817,0.6512135330721887,0.9492264968541873,1.613610494079393,1.0116090216332179,0.9554603149944152
cart_N1000_p10_rho0.0_sigma2.0_rep16,cart,0.0,2.0,16,1.5029033946664254,0.6963010635516906,0.9525080183716871,2.2013389748670886,1.182180327965181,0.9657630822610173
cart_N1000_p10_rho0.0_sigma2.0_rep17,cart,0.0,2.0,17,1.5901691596228804,0.8128097119368837,0.9152204836482773,2.4777833409144425,1.2540642747759643,0.9038657745316795
cart_N1000_p10_rho0.0_sigma2.0_rep18,cart,0.0,2.0,18,1.448754593982794,0.6853221050551834,0.9216678409135071,2.042681383529035,1.1424858218021359,0.9534343247498737
cart_N1000_p10_rho0.0_sigma2.0_rep19,cart,0.0,2.0,19,1.3710455220840998,0.6260607932096625,0.9657871774733985,1.8610717335995621,1.0873526490619347,0.9735172437049421
cart_N1000_p10_rho0.0_sigma2.0_rep2,cart,0.0,2.0,2,1.7419688131475712,0.8787839907870747,0.9322593242910142,2.958635625564518,1.3720637559131155,0.9313861938275552
cart_N1000_p10_rho0.0_sigma2.0_rep20,cart,0.0,2.0,20,1.3629936369317135,0.5739380325288219,0.9545199511718507,1.8272065599655194,1.077182391425882,0.9638412056734199
cart_N1000_p10_rho0.0_sigma2.0_rep21,cart,0.0,2.0,21,1.5145437709428482,0.7756513647577988,0.9513897050124994,2.250000151443635,1.1974491994227303,0.9483110480359851
