method,rho,sigma_2,rep,term,beta_true,beta_od,beta_sd,diff
cart,0.0,1.0,23,β7,1,1.0215698654419803,0.44790114711633355,0.5736687183256467
cart,0.0,1.0,23,β8,1,1.0036651316250322,0.5822612933457496,0.4214038382792826
cart,0.0,1.0,23,β9,1,1.0293317145569931,0.982101213369761,0.047230501187232155
cart,0.0,1.0,23,β10,1,1.0000985590664837,0.8068699005997529,0.19322865846673076
cart,0.0,1.0,24,β₀ (intercept),1,1.0316394861444498,1.2313850431886662,-0.19974555704421637
cart,0.0,1.0,24,β1,1,1.0242302302154136,0.5893653566431015,0.43486487357231207
cart,0.0,1.0,24,β2,1,0.9815946505362559,0.6136689806224649,0.36792566991379105
cart,0.0,1.0,24,β3,1,1.0157037840086278,0.35420931942326334,0.6614944645853644
cart,0.0,1.0,24,β4,1,0.9641483083984471,0.7480909116830902,0.21605739671535695
cart,0.0,1.0,24,β5,1,0.9446956467440707,0.6622509311749235,0.2824447155691472
cart,0.0,1.0,24,β6,1,0.9477173773977964,0.6704901299631489,0.27722724743464744
cart,0.0,1.0,24,β7,1,1.0359387059483756,0.4572270465592227,0.5787116593891528
cart,0.0,1.0,24,β8,1,0.9932676939020781,0.5960209952006869,0.3972466987013913
cart,0.0,1.0,24,β9,1,0.9994873955387118,0.7436799328546071,0.2558074626841047
cart,0.0,1.0,24,β10,1,0.9877705871635056,0.5664514167412652,0.42131917042224043
cart,0.0,1.0,25,β₀ (intercept),1,0.9535826693860411,1.210331205139593,-0.25674853575355183
cart,0.0,1.0,25,β1,1,0.9695227750792917,0.3345441672163727,0.634978607862919
cart,0.0,1.0,25,β2,1,0.9878380223580188,0.7624126746197564,0.2254253477382624
cart,0.0,1.0,25,β3,1,0.9846338167423001,0.45595040859836167,0.5286834081439384
cart,0.0,1.0,25,β4,1,0.9776874852193653,0.322087301704924,0.6556001835144414
cart,0.0,1.0,25,β5,1,1.0534581411117707,0.468472358353164,0.5849857827586067
cart,0.0,1.0,25,β6,1,0.9916376506418197,0.5146122248720045,0.4770254257698152
cart,0.0,1.0,25,β7,1,0.9841140609904044,0.4784816373675692,0.5056324236228352
cart,0.0,1.0,25,β8,1,1.0124118120175776,0.8064624904886957,0.2059493215288819
cart,0.0,1.0,25,β9,1,1.024366593277602,0.4278728057090281,0.596493787568574
cart,0.0,1.0,25,β10,1,1.0144698143334334,0.8453315251631658,0.16913828917026763
cart,0.0,1.0,26,β₀ (intercept),1,0.9472212861149873,1.183271820926303,-0.23605053481131555
cart,0.0,1.0,26,β1,1,1.0068132862986294,0.7323867758915893,0.27442651040704014
cart,0.0,1.0,26,β2,1,1.0431971748774644,0.6781508135234824,0.36504636135398205
cart,0.0,1.0,26,β3,1,0.9996268611424096,0.6101546163800536,0.389472244762356
cart,0.0,1.0,26,β4,1,1.0182120494768756,0.6261434877475195,0.3920685617293561
cart,0.0,1.0,26,β5,1,1.002297263912041,0.47321057809303096,0.5290866858190102
cart,0.0,1.0,26,β6,1,0.9460986468577426,0.6990801642038766,0.24701848265386595
cart,0.0,1.0,26,β7,1,0.9762270970759909,0.221220950834805,0.7550061462411859
cart,0.0,1.0,26,β8,1,0.9580686549508924,0.8209086742365175,0.13715998071437496
cart,0.0,1.0,26,β9,1,1.0055303935960402,0.3211453750383789,0.6843850185576613
cart,0.0,1.0,26,β10,1,1.0323654231883397,0.46231773702536044,0.5700476861629793
cart,0.0,1.0,27,β₀ (intercept),1,0.9833735638139506,1.0055478048766924,-0.022174241062741795
cart,0.0,1.0,27,β1,1,1.0329494731293176,0.6369390743302774,0.3960103987990402
cart,0.0,1.0,27,β2,1,1.0436087479274456,1.108023733093828,-0.06441498516638244
cart,0.0,1.0,27,β3,1,0.9947252972948526,0.522266275665436,0.47245902162941655
cart,0.0,1.0,27,β4,1,1.0070951186573043,0.4433238630827571,0.5637712555745471
cart,0.0,1.0,27,β5,1,1.0145023676081373,0.5649207783793966,0.4495815892287407
cart,0.0,1.0,27,β6,1,1.010568349785745,0.9280160597871598,0.0825522899985851
cart,0.0,1.0,27,β7,1,0.9993368289224892,0.2782859572884545,0.7210508716340347
cart,0.0,1.0,27,β8,1,1.0295888577877992,0.7795136353735014,0.2500752224142978
cart,0.0,1.0,27,β9,1,1.0119280036731313,0.01635119398156813,0.9955768096915631
cart,0.0,1.0,27,β10,1,0.9748722114441326,0.4461880774668734,0.5286841339772592
cart,0.0,1.0,28,β₀ (intercept),1,1.0275837828118886,0.9312628987315641,0.09632088408032446
cart,0.0,1.0,28,β1,1,0.9803678666846939,0.40280804684940896,0.5775598198352849
cart,0.0,1.0,28,β2,1,0.9475380698388797,0.6227666336500624,0.3247714361888173
cart,0.0,1.0,28,β3,1,1.0191483708930158,0.6312731390669681,0.38787523182604766
cart,0.0,1.0,28,β4,1,0.9360759978092007,0.5298841747210398,0.40619182308816093
cart,0.0,1.0,28,β5,1,1.023469351773991,0.9337220153803262,0.08974733639366483
cart,0.0,1.0,28,β6,1,1.0134435905430894,0.6352440310958202,0.37819955944726924
cart,0.0,1.0,28,β7,1,0.9830825416261859,0.4620246278194648,0.5210579138067211
cart,0.0,1.0,28,β8,1,0.9913717704763371,0.243236208420099,0.7481355620562381
cart,0.0,1.0,28,β9,1,0.9439412103573646,0.5713205439296933,0.3726206664276712
cart,0.0,1.0,28,β10,1,1.0256382524882817,0.5627286257750888,0.4629096267131929
