method,rho,sigma_2,rep,r2_od,r2_sd,r2_diff,ci_overlap_pct
cart,0.0,1.0,97,0.9137184345399705,0.3431106852348389,0.5706077493051316,5.541959941842349
cart,0.0,1.0,98,0.9016782288454375,0.30061497816840055,0.6010632506770369,0.0
cart,0.0,1.0,99,0.910998252774447,0.3791697485209541,0.5318285042534929,8.531495276972034
cart,0.0,1.5,1,0.8739250940163652,0.3254832874068928,0.5484418066094724,6.532850747227894
cart,0.0,1.5,10,0.8890531235710954,0.43799495805802,0.4510581655130754,7.76715731229447
cart,0.0,1.5,100,0.8783754460955584,0.41145646178319906,0.46691898431235934,13.789085629317913
cart,0.0,1.5,11,0.8725891707615276,0.36490584608866383,0.5076833246728638,7.35196031066864
cart,0.0,1.5,12,0.8703144257610614,0.3836490609545724,0.48666536480648903,8.080615579225066
cart,0.0,1.5,13,0.8739563389364686,0.36362839181273166,0.510327947123737,6.2427928102283525
cart,0.0,1.5,14,0.8746097242905351,0.37901123169277584,0.49559849259775923,6.337220970561157
cart,0.0,1.5,15,0.8520654040653611,0.38902540742943503,0.4630399966359261,6.645668610939202
cart,0.0,1.5,16,0.8701348667342229,0.39185353390105193,0.478281332833171,10.448399399742444
cart,0.0,1.5,17,0.8795009230739018,0.412966528137909,0.4665343949359928,17.317648724804382
cart,0.0,1.5,18,0.8677801904955136,0.322494617746269,0.5452855727492446,2.514287907936193
cart,0.0,1.5,19,0.8760899455983125,0.3672371453716373,0.5088528002266752,4.786015199000225
cart,0.0,1.5,2,0.8859587225060134,0.35994573622513937,0.526012986280874,4.201754700230557
cart,0.0,1.5,20,0.8750573934773244,0.4340148417451791,0.44104255173214524,13.189836028395327
cart,0.0,1.5,21,0.8626791289479082,0.3425999427467933,0.5200791862011149,12.525876553552253
cart,0.0,1.5,22,0.8698187555388548,0.3820646382726013,0.4877541172662535,20.0623146105106
cart,0.0,1.5,23,0.8802915596865906,0.3660289743077779,0.5142625853788126,12.579752788726356
cart,0.0,1.5,24,0.8746398247422297,0.34882896310676714,0.5258108616354625,7.045627353462058
cart,0.0,1.5,25,0.8724406461916725,0.33874298293650984,0.5336976632551627,3.409408717200811
cart,0.0,1.5,26,0.8663558801299548,0.3889376434774038,0.477418236652551,18.311808030428104
cart,0.0,1.5,27,0.8662726630700548,0.32747750009399956,0.5387951629760552,1.745098262572812
cart,0.0,1.5,28,0.8779359823342671,0.3598470404015408,0.5180889419327263,6.189196716586385
cart,0.0,1.5,29,0.8725050541208212,0.33109654732068916,0.5414085068001321,7.9702901663022185
cart,0.0,1.5,3,0.8676260212066856,0.39684001821303994,0.4707860029936457,16.373121281633836
cart,0.0,1.5,30,0.8750598608845391,0.36394921844981576,0.5111106424347234,9.663597277663566
cart,0.0,1.5,31,0.8758743144276513,0.31830356281387984,0.5575707516137715,3.1770101783115643
cart,0.0,1.5,32,0.8698329573419785,0.31448755158502484,0.5553454057569537,0.3670936790729043
cart,0.0,1.5,33,0.8592625484119196,0.30757504210071407,0.5516875063112056,12.558470050263223
cart,0.0,1.5,34,0.8678593004939262,0.3028577747929708,0.5650015257009554,2.3512831079188823
cart,0.0,1.5,35,0.8720371996900896,0.3377776857830035,0.5342595139070861,6.747411725101523
cart,0.0,1.5,36,0.8636286950421111,0.3137882119665275,0.5498404830755836,7.046048540431246
cart,0.0,1.5,37,0.8740370064462046,0.3654540213069699,0.5085829851392347,1.43428866559797
cart,0.0,1.5,38,0.8725033000490394,0.31785434933443024,0.5546489507146092,0.0
cart,0.0,1.5,39,0.8793790008306394,0.345726739879206,0.5336522609514334,6.70241032728251
cart,0.0,1.5,4,0.8750418212991212,0.33376116672124645,0.5412806545778748,0.8138177025241617
cart,0.0,1.5,40,0.8767877539061874,0.34723309573985794,0.5295546581663294,6.678176450379092
cart,0.0,1.5,41,0.8740993281403782,0.37891225529999506,0.4951870728403831,9.716029260844135
cart,0.0,1.5,42,0.8744844898485689,0.371070430405254,0.5034140594433149,12.277712520450612
cart,0.0,1.5,43,0.8710770375067298,0.36336552055840154,0.5077115169483283,10.535852101279541
cart,0.0,1.5,44,0.8538563439547269,0.36878822427229974,0.48506811968242713,15.340833829203707
cart,0.0,1.5,45,0.8673674255466751,0.3604905229281994,0.5068769026184757,9.682534614700765
cart,0.0,1.5,46,0.8686721241003521,0.3471232299927274,0.5215488941076247,3.1848927818335855
cart,0.0,1.5,47,0.8699124215805154,0.2987773658564472,0.5711350557240682,7.296595460612906
cart,0.0,1.5,48,0.8714960971132268,0.3066553907609404,0.5648407063522864,5.5304318852344325
cart,0.0,1.5,49,0.8641945917954174,0.29908740885925744,0.5651071829361599,4.955376616662884
cart,0.0,1.5,5,0.861058764526812,0.3477658617943489,0.5132929027324631,4.151290035379031
cart,0.0,1.5,50,0.8637310210460134,0.2986701939045906,0.5650608271414228,3.696164900880214
cart,0.0,1.5,51,0.8676473872957817,0.27953725736957247,0.5881101299262093,1.0895600810994017
cart,0.0,1.5,52,0.8661659638486585,0.33374050747659634,0.5324254563720622,2.312763847304227
cart,0.0,1.5,53,0.8760829698987241,0.35048609717106316,0.525596872727661,9.828695009620107
cart,0.0,1.5,54,0.8699655012189631,0.3770842646618454,0.4928812365571177,0.0
cart,0.0,1.5,55,0.87898720597314,0.34778207111643067,0.5312051348567093,9.394648046311909
cart,0.0,1.5,56,0.869578803279744,0.31147926561988826,0.5580995376598558,6.397163389993846
cart,0.0,1.5,57,0.870979689485651,0.3263877021378676,0.5445919873477834,4.3460001649521285
cart,0.0,1.5,58,0.8782666463374063,0.3934531771426302,0.4848134691947761,11.361754642526286
cart,0.0,1.5,59,0.8976001396409298,0.3809526863023086,0.5166474533386212,11.575197474232413
cart,0.0,1.5,6,0.8759130757997836,0.36795872809135066,0.507954347708433,6.386785758562138
cart,0.0,1.5,60,0.8655237526359808,0.37227904992742367,0.49324470270855714,2.5159045770322908
cart,0.0,1.5,61,0.8785553510134984,0.38714692319490107,0.4914084278185973,11.116876307679702
cart,0.0,1.5,62,0.8683770055675097,0.3232822819317843,0.5450947236357254,1.0445306943174126
cart,0.0,1.5,63,0.8735449296521235,0.37119946388655023,0.5023454657655733,5.715191748282471
cart,0.0,1.5,64,0.8619377022798678,0.3091935607261792,0.5527441415536886,7.875073477331557
cart,0.0,1.5,65,0.8668410673625351,0.3579530294046823,0.5088880379578528,9.362348251370394
cart,0.0,1.5,66,0.8752648729426822,0.42787195301611414,0.44739291992656804,12.464819057736861
cart,0.0,1.5,67,0.870132988014499,0.3993012382029507,0.4708317498115483,15.379988156021989
cart,0.0,1.5,68,0.875247628576969,0.3228767666266794,0.5523708619502896,1.6113985819982413
cart,0.0,1.5,69,0.8714310184215516,0.3180040068553168,0.5534270115662348,0.7023685670688143
cart,0.0,1.5,7,0.88746333361139,0.3831110477739106,0.5043522858374794,18.53122582436894
cart,0.0,1.5,70,0.8706142564945151,0.35848691594128956,0.5121273405532255,10.25918269952784
cart,0.0,1.5,71,0.8743444087575883,0.38678983187962634,0.487554576877962,3.7988355863709784
cart,0.0,1.5,72,0.8793318838052679,0.37732726734437083,0.5020046164608971,13.10695992485896
cart,0.0,1.5,73,0.8830089687563336,0.37408151743574813,0.5089274513205855,6.7610881046466
cart,0.0,1.5,74,0.8740366896922536,0.4037567981832294,0.47027989150902416,7.388853391748358
cart,0.0,1.5,75,0.8611123666245706,0.325168195986412,0.5359441706381586,3.670259014821129
cart,0.0,1.5,76,0.8516293088230749,0.3163388331469268,0.5352904756761481,6.924777957518858
cart,0.0,1.5,77,0.8792031369436859,0.3205442159236003,0.5586589210200856,6.03977731904935
cart,0.0,1.5,78,0.8633795837024137,0.405546348914089,0.4578332347883247,12.256680628390363
cart,0.0,1.5,79,0.8580539577471106,0.3268872052700542,0.5311667524770564,4.344292781179777
cart,0.0,1.5,8,0.864437686107268,0.369616086145802,0.494821599961466,17.383579485598442
cart,0.0,1.5,80,0.8641204278180695,0.35239142340677077,0.5117290044112988,2.9679208310083713
